Strike,Ticker,Bid,Ask,Last,IVM,Volm,,Strike,Ticker,Bid,Ask,Last,IVM,Volm
,,,,,,,,,,,,,,
700,META 1/30/26 C700,38.7,39.9,39.61,48.29,17590,,700,META 1/30/26 P700,0.22,0.29,0.2,46.34,30408
702.5,META 1/30/26 C702.5,36.05000305,36.6000061,38.43000793,0,1770,,702.5,META 1/30/26 P702.5,0.300000012,0.329999983,0.230000019,45.1832428,3906
705,META 1/30/26 C705,32.15000916,35,35,0,1722,,705,META 1/30/26 P705,0.370000005,0.400000036,0.300000012,44.24474716,8030
707.5,META 1/30/26 C707.5,31.05000305,33.30000305,32,47.4177475,1033,,707.5,META 1/30/26 P707.5,0.439999998,0.470000029,0.340000033,42.9901886,3315
710,META 1/30/26 C710,28.80000305,30.29998779,29,42.45902252,7305,,710,META 1/30/26 P710,0.569999993,0.589999974,0.439999998,42.41542816,10500
712.5,META 1/30/26 C712.5,26.44999695,27.8999939,26.6000061,39.31678009,2547,,712.5,META 1/30/26 P712.5,0.709999979,0.74000001,0.519999981,41.67873001,2846
715,META 1/30/26 C715,23.55000305,25.5,24.72000122,36.20538712,8096,,715,META 1/30/26 P715,0.910000026,0.930000007,0.75,41.13220215,11256
717.5,META 1/30/26 C717.5,21.8999939,23.44999695,24.00999451,41.05836105,4014,,717.5,META 1/30/26 P717.5,1.159999847,1.179999352,0.910000026,40.67409897,5601
720,META 1/30/26 C720,19.80000305,20.25,19.5,36.11326599,21517,,720,META 1/30/26 P720,1.420000076,1.5,1.25,40.41811752,16011
722.5,META 1/30/26 C722.5,17.05000305,18.05000305,19.44999695,32.94811249,6040,,722.5,META 1/30/26 P722.5,1.800000191,1.909999847,1.470000267,39.76224899,3923
725,META 1/30/26 C725,15.85000038,16,17.19999695,36.66651154,17552,,725,META 1/30/26 P725,2.329999924,2.400000572,2.050000191,39.69791031,8570
727.5,META 1/30/26 C727.5,13.80000019,14.10000038,14.05000019,36.31466675,5820,,727.5,META 1/30/26 P727.5,2.829999924,2.979999542,2.680000305,39.5840683,3539
730,META 1/30/26 C730,12.05000019,12.30000019,12.57999992,36.53067398,36214,,730,META 1/30/26 P730,3.550000191,3.699999809,3.449999809,39.11286163,8578
732.5,META 1/30/26 C732.5,10.35000038,10.60000038,11.35000038,36.40029526,8278,,732.5,META 1/30/26 P732.5,4.350000381,4.5,4.300000191,39.30104828,3459
735,META 1/30/26 C735,8.800000191,9.050000191,9.159999847,36.35131454,16823,,735,META 1/30/26 P735,5.300000191,5.5,5,38.8096199,6241
737.5,META 1/30/26 C737.5,7.400000572,7.650000572,7.199999809,35.99224091,8009,,737.5,META 1/30/26 P737.5,6.25,6.550000191,6.050000191,38.75225067,2315
740,META 1/30/26 C740,6.050000191,6.300000191,5.949999809,35.80966187,30444,,740,META 1/30/26 P740,7.399999619,7.75,7.530000687,37.80169678,2346
742.5,META 1/30/26 C742.5,5,5.149999619,5.150000572,35.57781219,6605,,742.5,META 1/30/26 P742.5,8.949999809,9.149999619,8.699999809,38.2674408,1547
745,META 1/30/26 C745,4.050000191,4.150000572,4,35.52505112,14464,,745,META 1/30/26 P745,10.44999981,10.64999962,10.39999962,38.80901337,513
747.5,META 1/30/26 C747.5,3.199999809,3.349999428,3.100000381,35.71214676,4514,,747.5,META 1/30/26 P747.5,11.89999962,12.35000038,10.80000019,37.65205765,148
750,META 1/30/26 C750,2.510000229,2.56000042,2.380000114,35.38977051,48220,,750,META 1/30/26 P750,13.64999962,14.19999981,12.52000046,37.75750351,988
755,META 1/30/26 C755,1.460000038,1.539999962,1.5,35.36201477,10479,,755,META 1/30/26 P755,17.25,18.30000305,16.16000366,37.34890747,83
760,META 1/30/26 C760,0.850000024,0.920000017,0.889999986,35.9034996,13013,,760,META 1/30/26 P760,20.80000305,23.80000305,21.3500061,41.03665543,210
765,META 1/30/26 C765,0.519999981,0.550000012,0.540000021,36.93534088,12800,,765,META 1/30/26 P765,26.75,27.44999695,29.13000488,45.22049332,65
770,META 1/30/26 C770,0.330000043,0.389999986,0.360000014,38.85041046,14011,,770,META 1/30/26 P770,31.3999939,32.3500061,31.1499939,48.29049683,116
775,META 1/30/26 C775,0.199999988,0.25999999,0.270000041,40.26955032,7995,,775,META 1/30/26 P775,35.94999695,38.6000061,34.93000793,57.59296799,11
780,META 1/30/26 C780,0.139999986,0.180000007,0.160000026,42.18154526,7459,,780,META 1/30/26 P780,41.40000916,43.25,40.5,63.85337067,14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
